No;Link Matkul;Name;Kode Matkul;Kategori Matkul
54;https://sikola.unhas.ac.id/courses/0105C20201/index.php;TES PEMERIKSAAN MATA;0105C20201;11701
55;https://sikola.unhas.ac.id/courses/0105C20502/index.php;BIOLOGI MOLEKULER ;0105C20502;11711
56;https://sikola.unhas.ac.id/courses/0105C20602/index.php;METODE PENELITIAN;0105C20602;11705
57;https://sikola.unhas.ac.id/courses/0105C20802/index.php;BANK DARAH;0105C20802;11719
58;https://sikola.unhas.ac.id/courses/0105C21003/index.php;RADIOLOGI SISTEM KARDIOVASKULER (1) ;0105C21003;11723
59;https://sikola.unhas.ac.id/courses/0105C21201/index.php;SISTEM SARAF TEPI, NEUROMUSKULAR DAN SARAF OTONOM;0105C21201;11703
60;https://sikola.unhas.ac.id/courses/0105C21402/index.php;BIOLOGI SEL DAN BIOLOGI MOLEKULER;0105C21402;11706
61;https://sikola.unhas.ac.id/courses/0105C21502/index.php;BIOLOGI MOLEKULER;0105C21502;11712
62;https://sikola.unhas.ac.id/courses/0105C21702/index.php;BIOLOGI MOLEKULER;0105C21702;13701
63;https://sikola.unhas.ac.id/courses/0106C11802/index.php;EPIDEMOLOGI KLINIK DAN KED. BERBASIS BUKTI (EVIDENCE BASED MEDICINE);0106C11802;11709
64;https://sikola.unhas.ac.id/courses/0106C20201/index.php;REFRAKSI;0106C20201;11701
65;https://sikola.unhas.ac.id/courses/0106C20501/index.php;FARMAKOLOGI KLINIK ;0106C20501;11711
66;https://sikola.unhas.ac.id/courses/0106C20602/index.php;BIOSTATISTIKA DAN KOMPUTER STATISTIK;0106C20602;11705
67;https://sikola.unhas.ac.id/courses/0106C21002/index.php;RADIOLOGI SISTEM MUSKULOSKELETAL (1) ;0106C21002;11723
68;https://sikola.unhas.ac.id/courses/0106C21201/index.php;DEMIELINASI DAN VASKULITIS;0106C21201;11703
69;https://sikola.unhas.ac.id/courses/0106C21401/index.php;FARMAKOLOGI KLINIK;0106C21401;11706
70;https://sikola.unhas.ac.id/courses/0106C21501/index.php;FARMAKOLOGI KLINIK;0106C21501;11712
71;https://sikola.unhas.ac.id/courses/0106C21701/index.php;ETIKA PROFESI;0106C21701;13701
72;https://sikola.unhas.ac.id/courses/0107C11801/index.php;FARMAKOLOGI KLINIK;0107C11801;11709
73;https://sikola.unhas.ac.id/courses/0107C20201/index.php;INFEKSI DAN IMUNOLOGI;0107C20201;11701
