No;Link Matkul;Name;Kode Matkul;Kategori Matkul;Is Found
7052;https://sikola.unhas.ac.id/courses/214D6223/index.php;EKONOMI MINERAL;214D6223;31201;Found
7053;https://sikola.unhas.ac.id/courses/214E1203/index.php;KEUANGAN DAERAH;214E1203;65201;Not Found
7054;https://sikola.unhas.ac.id/courses/214E1303/index.php;METODOLOGI ILMU HUBUNGAN INTERNASIONAL;214E1303;64201;Not Found
7055;https://sikola.unhas.ac.id/courses/214E2103/index.php;SISTEM INFORMASI MANAJEMEN;214E2103;63201;Found
7056;https://sikola.unhas.ac.id/courses/214E3103/index.php;DASAR-DASAR JURNALISTIK;214E3103;70201;Not Found
7057;https://sikola.unhas.ac.id/courses/214E4103/index.php;TEORI SOSIOLOGI MODERN;214E4103;69201;Not Found
7058;https://sikola.unhas.ac.id/courses/214E5103/index.php;TEORI ANTROPOLOGI II;214E5103;82201;Not Found
7059;https://sikola.unhas.ac.id/courses/214F3112/index.php;EXPRESSION ORALE ET ECRITE 3;214F3112;79205;Not Found
7060;https://sikola.unhas.ac.id/courses/214F4112/index.php;NAHWU II;214F4112;79203;Not Found
7061;https://sikola.unhas.ac.id/courses/214F5102/index.php;MORFOLOGI BAHASA BUGIS-MAKASSAR;214F5102;79211;Not Found
7062;https://sikola.unhas.ac.id/courses/214F5112/index.php;MORFOLOGI BAHASA BUGIS - MASKASSAR;214F5112;79211;Not Found
7063;https://sikola.unhas.ac.id/courses/214F6102/index.php;ARSITEKTUR TRADISIONAL INDONESIA;214F6102;81201;Not Found
7064;https://sikola.unhas.ac.id/courses/214F7102/index.php;SEJARAH MARITIM INDONESIA;214F7102;80201;Not Found
7065;https://sikola.unhas.ac.id/courses/214I1103/index.php;DASAR TEKNOLOGI HASIL TERNAK;214I1103;54231;Found
7066;https://sikola.unhas.ac.id/courses/214K2022/index.php;TEKNOLOGI DAN KEAMANAN PANGAN;214K2022;13211;Not Found
7067;https://sikola.unhas.ac.id/courses/214M1123/index.php;TEKNOLOGI PENGOLAHAN KAYU;214M1123;54251;Found
7068;https://sikola.unhas.ac.id/courses/214O1123/index.php;ANATOMI TOPOGRAFI;214O1123;54261;Found
7069;https://sikola.unhas.ac.id/courses/215A2223/index.php;PERILAKU ORGANISASIONAL;215A2223;61201;Not Found
7070;https://sikola.unhas.ac.id/courses/215B2123/index.php;HUKUM DAN KEBIJAKAN PUBLIK;215B2123;74235;Not Found
7071;https://sikola.unhas.ac.id/courses/215C1105/index.php;S1 SISTEM ENDOKRIN & METABOLISME;215C1105;11201;Not Found
7072;https://sikola.unhas.ac.id/courses/215C1312/index.php;DASAR PEMERIKSAAN LABORATORIUM;215C1312;11202;Found
7073;https://sikola.unhas.ac.id/courses/215D1113/index.php;PERANCANGAN GEOMETRIK JALAN;215D1113;22201;Not Found
7074;https://sikola.unhas.ac.id/courses/215D1212/index.php;MANAJEMEN K3;215D1212;25201;Not Found
7075;https://sikola.unhas.ac.id/courses/215D2122/index.php;PEMROGRAMAN KOMPUTER;215D2122;21201;Not Found
7076;https://sikola.unhas.ac.id/courses/215D2212/index.php;ALAT BANTU DAN ALAT UKUR;215D2212;26201;Found
7077;https://sikola.unhas.ac.id/courses/215D31122/index.php;MATEMATIKA TEKNIK 2;215D31122;36201;Not Found
