PROGRAM STUDI;JUMLAH KELAS;JML KELAS PUNYA MATERI;JML KELAS PUNYA MATERI 16 PERTEMUAN
PPDS - ILMU BEDAH ANAK;15;0;0
PPDS - ILMU BEDAH SARAF;42;0;0
PPDS - ILMU GIZI KLINIK;47;0;0
PPDS - ILMU PENYAKIT JANTUNG DAN PEMBULUH DARAH;45;0;0
PPDS - MIKROBIOLOGI KLINIK;33;0;0
PPDS - PULMONOLOGI;33;0;0
PPDS ANESTESIOLOGI;50;0;0
PPDS ANESTESIOLOGI  DAN TERAPI (Sp2);41;0;0
PPDS ILMU BEDAH;55;0;0
PPDS ILMU BEDAH (Sp2);45;0;0
PPDS ILMU KEDOKTERAN FISIK DAN REHABILITASI;32;0;0
PPDS ILMU KEDOKTERAN FORENSIK DAN MEDIKOLEGAL;42;0;0
PPDS ILMU KEDOKTERAN JIWA - PSIKIATRI;36;0;0
PPDS ILMU KESEHATAN ANAK;94;0;0
PPDS ILMU PATOLOGI KLINIK;70;1;0
PPDS ILMU PENYAKIT DALAM;24;0;0
PPDS ILMU PENYAKIT DALAM (Sp2);29;0;0
PPDS ILMU PENYAKIT KULIT DAN KELAMIN;25;0;0
PPDS ILMU PENYAKIT MATA;31;0;0
PPDS ILMU PENYAKIT SARAF;68;0;0
PPDS ILMU PENYAKIT THT;76;0;0
PPDS ILMU RADIOLOGI;66;0;0
PPDS OBSTETRI DAN GINEKOLOGI;34;0;0
PPDS ORTHOPEDI;49;0;0
PPDS PATOLOGI ANATOMI;43;0;0
PPDS UROLOGI;1;0;0
PROFESI ARSITEK;12;5;0
PROFESI DOKTER;111;0;0
PROFESI DOKTER GIGI;21;0;0
PROFESI DOKTER HEWAN;27;0;0
PROFESI FISIOTERAPI;10;0;0
PROFESI INSINYUR;36;4;0
PROFESI NERS;42;2;0
PROG. PROFESI AKUNTANSI;9;3;1
PROG. PROFESI APOTEKER;38;26;0
PROTEKSI TANAMAN - S1;51;35;0
PSIKOLOGI - S1;75;70;0
Rekayasa Kehutanan - S1;50;33;0
SAINS MANAJEMEN - S2;13;1;0
SASTRA ASIA BARAT - S1;58;34;1
SASTRA BUGIS-MAKASSAR - S1;47;6;0
SASTRA INDONESIA - S1;58;17;0
SASTRA INDONESIA - S3;22;0;0
SASTRA INGGRIS - S1;75;22;2
SASTRA JEPANG - S1;47;11;0
SASTRA PRANCIS - S1;41;20;0
Sejarah - S2;10;0;0
SISTEM INFORMASI - S1;76;26;0
SISTEM-SISTEM PERTANIAN - S2;16;2;0
SOSIOLOGI - S1;50;16;0
SOSIOLOGI - S2;20;0;0
SOSIOLOGI - S3;11;0;0
STATISTIKA - S1;66;19;0
Statistika - S2;13;4;0
STUDI PEMBANGUNAN - S3;18;3;0
TEKNIK AGROINDUSTRI - S2;4;0;0
TEKNIK ARSITEKTUR - S1;164;35;2
TEKNIK ELEKTRO - S1;188;54;0
TEKNIK ELEKTRO - S2;32;14;0
TEKNIK ELEKTRO - S3;34;9;0
TEKNIK GEOLOGI - S1;77;34;0
TEKNIK GEOLOGI - S2;24;7;0
TEKNIK INDUSTRI - S1;83;22;1
TEKNIK INDUSTRI - S2;12;5;0
TEKNIK INFORMATIKA - S1;138;76;0
TEKNIK KELAUTAN - S1;88;57;1
TEKNIK LINGKUNGAN - S1;83;39;0
TEKNIK LINGKUNGAN - S2;7;2;0
TEKNIK MESIN - S1;158;37;0
TEKNIK MESIN - S2;21;4;0
TEKNIK MESIN - S3;73;1;0
TEKNIK METALURGI DAN MATERIAL - S1;10;6;0
TEKNIK PERENCANAAN PRASARANA - S2;17;8;1
TEKNIK PERENCANAAN WILAYAH DAN KOTA - S2;20;2;0
TEKNIK PERENCANAAN WILAYAH KOTA - S1;79;12;0
TEKNIK PERKAPALAN - S1;87;40;0
TEKNIK PERKAPALAN - S2;17;8;0
TEKNIK PERTAMBANGAN - S1;81;38;0
TEKNIK PERTAMBANGAN -S2;14;6;0
TEKNIK SIPIL - S1;134;72;0
TEKNIK SIPIL - S2;28;5;0
TEKNIK SIPIL - S3;35;3;0
TEKNIK SISTEM PERKAPALAN - S1;109;35;1
TEKNIK TRANSPORTASI - S2;16;3;0
TEKNOLOGI AKUAKULTUR DAN PASCA PANEN PERIKANAN - D4;7;7;0
TEKNOLOGI HASIL PERIKANAN - S1;17;11;0
TEKNOLOGI KEBUMIAN DAN LINGKUNGAN - S3;15;0;0
TEKNOLOGI METALURGI EKSTRAKSI - D4;10;6;0
TEKNOLOGI PAKAN TERNAK - D4;17;7;0
TEKNOLOGI PRODUKSI TANAMAN PANGAN - D4;22;13;0
TEKNOLOGI PRODUKSI TERNAK - D4;13;5;0
TERAPI GIGI - D4;20;8;0
